people_id,movie_id
p_117958,37986
p_56055,37986
p_93182,37986
p_115312,37986
p_18259,19857
p_18260,19857
p_6907,19857
p_89457,19857
p_32286,19857
p_83202,19857
p_78338,19857
p_81136,19857
p_25386,19857
p_120419,38715
p_120424,38715
p_120425,38715
p_120427,38715
p_120428,38715
p_250342,38715
p_250343,38715
p_47647,38715
p_9977,174494
p_272164,174494
p_274508,174494
p_249990,174494
p_72392,12469
p_24548,12469
p_72393,12469
p_72394,12469
p_72395,12469
p_72396,12469
p_72400,12469
p_14701,53235
p_9762,53235
p_78659,53235
p_30962,53235
p_161398,53235
p_27841,53235
p_161399,53235
p_161400,53235
p_127959,53235
p_161401,53235
p_137899,53235
p_172957,57781
p_172958,57781
p_76446,57781
p_229148,85137
p_229149,85137
p_229150,85137
p_86424,70143
p_86469,70143
p_60033,103597
p_117119,103597
p_36549,103597
p_158039,103597
p_6576,103597
p_141780,87026
p_225086,87026
p_230540,87026
p_79824,79000
p_4255,79000
p_21380,79000
p_90568,79000
p_223724,79000
p_81747,79000
p_90556,79000
p_91912,79000
p_70423,79000
p_202958,79000
p_4253,79000
p_167118,116188
p_239185,116188
p_227046,116188
p_224112,116188
p_2133,116188
p_225506,116188
p_31647,116188
p_117119,116188
p_239186,116188
p_242114,116188
p_100459,116188
p_238239,116188
p_251140,116188
p_250086,116188
p_126700,41855
p_126701,41855
p_14502,41855
p_52611,41855
p_126702,41855
p_126703,41855
p_58808,41855
p_126704,41855
p_110963,41855
p_126705,41855
p_126706,41855
p_126707,41855
p_27370,91850
p_22735,91850
p_23131,91850
p_234358,91850
p_22593,91850
p_234631,91850
p_11544,83483
p_12748,83483
p_35254,83483
p_24476,83483
p_69971,83483
p_209868,83483
p_49000,83483
p_223814,77768
p_90978,77768
p_225149,77768
p_225150,77768
p_141783,77768
p_115063,77768
p_225208,77768
p_225209,77768
p_225210,77768
p_225211,77768
p_225143,77768
p_225212,77768
p_225213,77768
p_225214,77768
p_225215,77768
p_76174,180187
p_95456,180187
p_4741,180187
p_95457,180187
p_13526,35002
p_10428,35002
p_34408,35002
p_64930,35002
p_58184,35002
p_170281,35002
p_20496,35002
p_6193,118281
p_287,118281
p_204154,118281
p_20186,118281
p_8395,118281
p_46593,118281
p_234850,118281
p_18082,118281
p_242956,118281
p_6905,118281
p_254615,118281
p_254616,118281
p_1158,118281
p_2265,24795
p_105865,24795
p_68884,24795
p_26717,24795
p_120153,24795
p_270437,24795
p_270438,24795
p_116695,24795
p_20116,24795
p_10258,28776
p_45693,28776
p_46981,28776
p_2313,28776
p_100700,28776
p_100701,28776
p_100702,28776
p_232455,89653
p_232456,89653
p_232457,89653
p_232458,89653
p_52329,10450
p_6844,10450
p_1954,10450
p_36059,10450
p_21862,10450
p_1936,10450
p_52043,10450
p_32913,39557
p_36913,39557
p_27163,39557
p_24610,39557
p_38892,39557
p_99154,39557
p_24599,39557
p_32677,39557
p_33815,39557
p_124548,39557
p_135794,43802
p_96142,43802
p_135795,43802
p_135796,43802
p_62333,10039
p_62336,10039
p_62337,10039
p_62334,10039
p_62332,10039
p_62338,10039
p_62339,10039
p_62340,10039
p_85026,186950
p_104442,186950
p_229118,186950
p_55004,186950
p_218860,146731
p_23356,146731
p_261614,146731
p_261615,146731
p_261616,146731
p_11085,34416
p_1461,34416
p_25654,34416
p_33653,34416
p_13526,34416
p_23628,34416
p_2683,34416
p_122494,34416
p_521,2115
p_4800,2115
p_21730,2115
p_21731,2115
p_15419,2115
p_21732,2115
p_21733,2115
p_21734,2115
p_21735,2115
p_21736,2115
p_27594,50110
p_26516,50110
p_6258,50110
p_242225,50110
p_45283,50110
p_36068,86968
p_85841,86968
p_120437,86968
p_60607,86968
p_162160,86968
p_231203,86968
p_278607,26689
p_190323,26689
p_278608,26689
p_278609,26689
p_34581,10792
p_39330,10792
p_68798,10792
p_38499,10792
p_173005,150403
p_169013,150403
p_66155,150403
p_63696,150403
p_263376,150403
p_80914,150403
p_233557,90458
p_79,90458
p_230126,90458
p_241102,90458
p_197096,179286
p_277600,179286
p_277601,179286
p_277602,179286
p_277603,179286
p_277604,179286
p_54579,179286
p_277605,179286
p_277606,179286
p_277607,179286
p_277608,179286
p_277609,179286
p_277610,179286
p_277611,179286
p_277612,179286
p_30428,5094
p_27747,5094
p_41217,5094
p_41229,5094
p_41230,5094
p_41231,5094
p_133773,43348
p_132142,43348
p_4971,43348
p_3094,43348
p_26664,43348
p_8434,43348
p_133778,43348
p_133779,43348
p_133780,43348
p_92651,43348
p_133781,43348
p_22425,43348
p_133782,43348
p_133783,43348
p_133784,43348
p_133785,43348
p_133786,43348
p_58294,43348
p_133787,43348
p_133788,43348
p_86187,38177
p_25333,38177
p_85585,38177
p_118460,38177
p_38511,38177
p_41163,38177
p_118486,38177
p_41063,38177
p_111400,38177
p_118487,38177
p_28846,52371
p_204154,52371
p_2231,52371
p_27319,52371
p_252579,52371
p_143237,52371
p_235045,52371
p_111427,52371
p_230826,52371
p_244597,52371
p_60416,52371
p_229503,52371
p_938,52371
p_252580,52371
p_252581,52371
p_49966,52371
p_232717,52371
p_221174,52371
p_57461,52371
p_151843,52371
p_74981,52371
p_3550,52371
p_388,52371
p_100343,52371
p_21343,52371
p_223615,52371
p_26395,110092
p_28368,110092
p_39908,110092
p_45689,110092
p_4797,110092
p_124974,110092
p_13740,55983
p_282386,55983
p_252615,55983
p_107752,55983
p_127947,55983
p_238862,100669
p_1983,100669
p_224410,100669
p_6183,100669
p_153902,100669
p_239392,100669
p_205929,100669
p_239516,100669
p_172309,100669
p_12139,100669
p_213810,100669
p_176818,100669
p_27932,6645
p_50980,6645
p_19526,6645
p_47168,6645
p_37914,6645
p_26447,6645
p_20888,6645
p_36498,6645
p_50981,6645
p_50982,6645
p_2732,6645
p_50985,6645
p_12373,3578
p_33070,3578
p_33071,3578
p_12324,3578
p_12325,3578
p_33072,3578
p_33073,3578
p_33074,3578
p_33075,3578
p_9839,3578
p_33076,3578
p_33077,3578
p_33078,3578
p_33079,3578
p_33080,3578
p_33081,3578
p_33082,3578
p_33083,3578
p_33084,3578
p_152518,185344
p_90426,185344
p_233548,185344
p_144506,185344
p_61961,43924
p_62054,43924
p_1580,43924
p_71728,43924
p_381,43924
p_95732,43924
p_18262,43924
p_15661,43924
p_3138,43924
p_14101,43924
p_3392,10998
p_515,10998
p_10427,10998
p_45865,10998
p_148923,10998
p_52043,10998
p_148924,10998
p_2207,10998
p_56266,10998
p_148925,10998
p_148926,10998
p_148927,10998
p_148928,10998
p_19151,10998
p_13636,10998
p_148929,10998
p_109757,51320
p_24548,51320
p_121006,51320
p_110532,51320
p_199825,51320
p_153170,49181
p_80932,49181
p_153171,49181
p_119432,49181
p_153172,49181
p_153173,49181
p_153174,49181
p_1925,89468
p_33161,89468
p_232372,89468
p_232373,89468
p_59436,9577
p_43170,9577
p_1164,50568
p_166348,50568
p_109797,50568
p_230833,50568
p_17245,115241
p_10825,115241
p_185331,115241
p_54882,115241
p_28848,115241
p_59262,115241
p_228471,115241
p_228472,115241
p_207718,115241
p_190567,115241
p_100955,115241
p_229145,115241
p_229462,115241
p_250734,115241
p_160193,115241
p_230343,115241
p_68515,11190
p_68516,11190
p_68517,11190
p_68518,11190
