people_id,name,birth_date
p_250343,Oyvind Haugland Vaktskjold,\N
p_47647,Christian Rubeck,1980-12-14
p_9977,Dee Wallace-Stone,1948-12-14
p_272164,Sarah Navratil,\N
p_274508,Maple Suttles,\N
p_249990,Kevin Patrick Murphy,\N
p_72392,Komaki Kurihara,1945-03-14
p_24548,Go Kato,1938-02-04
p_72393,Yasushi Nagata,\N
p_72394,Hisako Takihana,\N
p_72395,Kinzo Shin,\N
p_72396,Kaneko Iwasaki,\N
p_72400,Kayoko Onishi,\N
p_14701,Carroll Baker,1931-05-28
p_9762,Jean Sorel,1934-12-25
p_78659,Luis Dávila,1927-07-21
p_30962,Alberto Dalbes,\N
p_161398,Marina Coffa,\N
p_27841,Anna Proclemer,\N
p_161399,Lisa Halvorsen,\N
p_161400,Manuel Díaz Velasco,\N
p_127959,Jacques Stany,\N
p_161401,Rossana Rovere,\N
p_137899,Calisto Calisti,1934-08-06
p_172957,Gilles Maheu,\N
p_172958,Roger Lebel,\N
p_76446,Lynne Adams,\N
p_229148,Theodor Becker,\N
p_229149,Karl Bernhard,\N
p_229150,Julietta Brandt,\N
p_86424,Stan Laurel,1890-06-16
p_86469,Oliver Hardy,1892-01-18
p_60033,Yaya DaCosta,1982-11-15
p_117119,Arlen Escarpeta,1981-04-09
p_36549,Yolonda Ross,\N
p_158039,Suzzanne Douglas,\N
p_6576,Mark Rolston,1956-12-07
p_141780,Leila Hatami,1972-10-01
p_225086,Khatereh Asadi,1983-10-01
p_230540,Arash Majidi,\N
p_79824,Ray Abruzzo,1954-08-12
p_4255,Richard Portnow,1947-01-26
p_21380,Larry Joshua,1952-02-12
p_90568,James Martin Kelly,1954-09-06
p_223724,Maya Stojan,1986-06-28
p_81747,Dawnn Lewis,1961-08-13
p_90556,Gina Hecht,1952-12-06
p_91912,Eme Ikwuakor,\N
p_70423,Jill Jacobson,\N
p_202958,Guy Nardulli,1974-05-31
p_4253,Jon Polito,1950-12-29
p_167118,Olivia Taylor Dudley,1985-11-04
p_239185,Jade Tailor,1985-08-12
p_227046,Rizwan Manji,1974-10-17
p_224112,Candis Cayne,1971-08-29
p_2133,Dina Meyer,1968-12-22
p_225506,Esmé Bianco,\N
p_31647,Garcelle Beauvais,1966-11-26
p_239186,Rose Liston,\N
p_242114,Nicholas Coombe,\N
p_100459,David Lewis,1976-08-04
p_238239,Markian Tarasiuk,\N
p_251140,Kylee Bush,\N
p_250086,Latonya Williams,\N
p_126700,Jay Rasumny,\N
p_126701,Samual Mann,\N
p_14502,John Ireland,1914-01-30
p_52611,Dyanne Thorne,\N
p_126702,Mendel Pincus,\N
p_126703,Robert George,\N
p_58808,Anne Gaybis,\N
p_126704,Marius Mazmanian,\N
p_110963,Maria Arnold,\N
p_126705,Bo Tackman,\N
p_126706,April Grant,\N
p_126707,Tallie Cochrane,\N
p_27370,Karin Ugowski,1943-07-11
p_22735,Manfred Krug,1937-02-08
p_23131,Martin Flörchinger,1909-10-09
p_234358,Evamaria Heyse,\N
p_22593,Helmut Schreiber,1925-11-16
p_234631,Achim Schmidtchen,1928-04-25
p_11544,Jean Gabin,1904-05-17
p_12748,Michel Simon,1895-04-09
p_35254,Michèle Morgan,1920-02-29
p_24476,Pierre Brasseur,1905-12-22
p_69971,Édouard Delmont,1883-12-05
p_209868,Raymond Aimos,\N
p_49000,Robert Le Vigan,\N
p_223814,Baran Kosari,1985-10-17
p_90978,Saber Abbar,1984-06-08
p_225149,Mehran Modiri,1967-04-07
p_225150,Amin Hayai,\N
p_141783,Sarina Farhadi,1998-01-19
p_115063,Hamed Behdad,1973-11-17
p_225208,Afarin Chitsaz,\N
p_225209,Kianoosh Gerami,\N
p_225210,Soroosh Goodarzi,\N
p_225211,Gohar Kheirandish,1954-08-21
p_225143,Niloofar Khoshkholgh,\N
p_225212,Akram Mohammadi,\N
p_225213,Mohsen Ghazi Moradi,\N
p_225214,Amir Nuri,\N
p_225215,Bahareh Rahnama,1973-12-01
p_76174,Taylor Lautner,1992-02-11
p_95456,Taylor Dooley,\N
p_4741,Cayden Boyd,1994-05-24
p_95457,George Lopez,1961-04-23
p_13526,Noah Wyle,1971-06-04
p_10428,Bruce Davison,1946-06-28
p_34408,Stana Katić,1978-04-26
p_64930,Bob Newhart,1929-09-05
p_58184,Jane Curtin,1947-09-06
p_170281,Dikran Tulaine,\N
p_20496,Jason Douglas,1973-02-14
p_6193,Leonardo DiCaprio,1974-11-11
p_287,Brad Pitt,1963-12-18
p_204154,Margot Robbie,1990-07-02
p_20186,Damian Lewis,1971-02-11
p_8395,Luke Perry,1966-10-11
p_46593,Emile Hirsch,1985-03-13
p_234850,Margaret Qualley,1994-10-23
p_18082,Timothy Olyphant,1968-05-20
p_242956,Julia Butters,2009-04-15
p_6905,Bruce Dern,1936-06-04
p_254615,Mike Moh,\N
p_254616,Rafał Zawierucha,\N
p_1158,Al Pacino,1940-04-25
